directed,source,target,type,year
True,year:1998,year:2000,Next_Time,1998
True,year:2000,year:2002,Next_Time,2000
True,year:2002,year:2004,Next_Time,2002
True,article:1998_001,year:1998,Was_Published_In,1998
True,author:a_p_oliva:53fd7b7b,article:1998_001,Was_Author_of,1998
True,author:w_c_leite_filho:e05a18d8,article:1998_001,Was_Author_of,1998
True,author:a_p_oliva:53fd7b7b,affiliation:instituto_de_aeronautica_e_espaco_iae_divisao_de_sistemas_espaciais:6498d61e,Is_Linked_to,1998
True,author:w_c_leite_filho:e05a18d8,affiliation:instituto_de_aeronautica_e_espaco_iae_divisao_de_sistemas_espaciais:6498d61e,Is_Linked_to,1998
False,author:a_p_oliva:53fd7b7b,author:w_c_leite_filho:e05a18d8,Collaborates,1998
True,article:1998_001,theme:pitch_attitude_tracking_control_law:e3a372a8,Was_Associated_To,1998
True,article:1998_001,theme:attitude_decoupling:739d65fe,Was_Associated_To,1998
True,article:1998_001,theme:need_for_coupled_vehicle_model_to_suppress_maneuver_coupling:bd5af8d2,Was_Associated_To,1998
True,article:1998_001,theme:mclean_linear_vehicle_models:4e9d5be1,Was_Associated_To,1998
True,author:a_p_oliva:53fd7b7b,theme:pitch_attitude_tracking_control_law:e3a372a8,Has_Expertise_In,1998
True,author:a_p_oliva:53fd7b7b,theme:attitude_decoupling:739d65fe,Has_Expertise_In,1998
True,author:a_p_oliva:53fd7b7b,theme:need_for_coupled_vehicle_model_to_suppress_maneuver_coupling:bd5af8d2,Has_Expertise_In,1998
True,author:a_p_oliva:53fd7b7b,theme:mclean_linear_vehicle_models:4e9d5be1,Has_Expertise_In,1998
True,author:w_c_leite_filho:e05a18d8,theme:pitch_attitude_tracking_control_law:e3a372a8,Has_Expertise_In,1998
True,author:w_c_leite_filho:e05a18d8,theme:attitude_decoupling:739d65fe,Has_Expertise_In,1998
True,author:w_c_leite_filho:e05a18d8,theme:need_for_coupled_vehicle_model_to_suppress_maneuver_coupling:bd5af8d2,Has_Expertise_In,1998
True,author:w_c_leite_filho:e05a18d8,theme:mclean_linear_vehicle_models:4e9d5be1,Has_Expertise_In,1998
True,article:1998_001,keyword:attitude_control:1dab2394,Contains,1998
True,article:1998_001,keyword:decoupling:a8969c60,Contains,1998
True,article:1998_001,keyword:control_algorithm:3d77f34c,Contains,1998
True,article:1998_002,year:1998,Was_Published_In,1998
True,author:leticia_p_amaral:42437d20,article:1998_002,Was_Author_of,1998
True,author:karl_h_kienitz:a377043a,article:1998_002,Was_Author_of,1998
True,author:leticia_p_amaral:42437d20,affiliation:instituto_tecnologico_de_aeronautica:ee34744c,Is_Linked_to,1998
True,author:karl_h_kienitz:a377043a,affiliation:instituto_tecnologico_de_aeronautica:ee34744c,Is_Linked_to,1998
False,author:leticia_p_amaral:42437d20,author:karl_h_kienitz:a377043a,Collaborates,1998
True,article:1998_002,theme:gain_scheduled_control_for_time_varying_linear_plants:c36d9fc9,Was_Associated_To,1998
True,article:1998_002,theme:tfl_ltr_controller_structure:38b64a3a,Was_Associated_To,1998
True,article:1998_002,theme:lqg_ltr_controller_structure:349b4dcd,Was_Associated_To,1998
True,article:1998_002,theme:relaxing_restrictions_on_slow_model_variation:ab7afca0,Was_Associated_To,1998
True,author:leticia_p_amaral:42437d20,theme:gain_scheduled_control_for_time_varying_linear_plants:c36d9fc9,Has_Expertise_In,1998
True,author:leticia_p_amaral:42437d20,theme:tfl_ltr_controller_structure:38b64a3a,Has_Expertise_In,1998
True,author:leticia_p_amaral:42437d20,theme:lqg_ltr_controller_structure:349b4dcd,Has_Expertise_In,1998
True,author:leticia_p_amaral:42437d20,theme:relaxing_restrictions_on_slow_model_variation:ab7afca0,Has_Expertise_In,1998
True,author:karl_h_kienitz:a377043a,theme:gain_scheduled_control_for_time_varying_linear_plants:c36d9fc9,Has_Expertise_In,1998
True,author:karl_h_kienitz:a377043a,theme:tfl_ltr_controller_structure:38b64a3a,Has_Expertise_In,1998
True,author:karl_h_kienitz:a377043a,theme:lqg_ltr_controller_structure:349b4dcd,Has_Expertise_In,1998
True,author:karl_h_kienitz:a377043a,theme:relaxing_restrictions_on_slow_model_variation:ab7afca0,Has_Expertise_In,1998
True,article:1998_002,keyword:robust_control:f2caa090,Contains,1998
True,article:1998_002,keyword:attitude_control:e4b88259,Contains,1998
True,article:1998_002,keyword:time_varying_plants:ccf9cdec,Contains,1998
True,article:1998_350,year:1998,Was_Published_In,1998
True,author:cicero_romao_cavati:de5a4d44,article:1998_350,Was_Author_of,1998
True,author:cicero_romao_cavati:de5a4d44,affiliation:departamento_de_engenharia_eletrica_universidade_federal_do_espirito_s:6de1741c,Is_Linked_to,1998
True,article:1998_350,theme:fuzzy_multicommodity_flow_model:e125b665,Was_Associated_To,1998
True,article:1998_350,theme:sdh_transport_network_planning:b9cd4296,Was_Associated_To,1998
True,article:1998_350,theme:fuzzy_traffic_matrix_represents_demand_uncertainty:41711807,Was_Associated_To,1998
True,author:cicero_romao_cavati:de5a4d44,theme:fuzzy_multicommodity_flow_model:e125b665,Has_Expertise_In,1998
True,author:cicero_romao_cavati:de5a4d44,theme:sdh_transport_network_planning:b9cd4296,Has_Expertise_In,1998
True,author:cicero_romao_cavati:de5a4d44,theme:fuzzy_traffic_matrix_represents_demand_uncertainty:41711807,Has_Expertise_In,1998
True,article:1998_350,keyword:telecomunications_planning:04f28a6a,Contains,1998
True,article:1998_350,keyword:optimization:fdf5e093,Contains,1998
True,article:1998_350,keyword:fuzzy:e32e63d5,Contains,1998
True,article:1998_351,year:1998,Was_Published_In,1998
True,author:i_b_da_silva:517dfb0e,article:1998_351,Was_Author_of,1998
True,author:antonio_c_de_c_lima:de2bd3e7,article:1998_351,Was_Author_of,1998
False,author:i_b_da_silva:517dfb0e,author:antonio_c_de_c_lima:de2bd3e7,Collaborates,1998
True,article:1998_351,theme:qam_16_software_modem_for_simultaneous_voice_and_data:b8f8c04e,Was_Associated_To,1998
True,article:1998_351,theme:ann_demodulation_pipeline_with_rls_and_rbf_stages:3d02811a,Was_Associated_To,1998
True,article:1998_351,theme:need_to_share_one_channel_while_preserving_data_reliability:911b2bc2,Was_Associated_To,1998
True,article:1998_351,theme:itu_v_29_recommendation:60ed4c89,Was_Associated_To,1998
True,author:i_b_da_silva:517dfb0e,theme:qam_16_software_modem_for_simultaneous_voice_and_data:b8f8c04e,Has_Expertise_In,1998
True,author:i_b_da_silva:517dfb0e,theme:ann_demodulation_pipeline_with_rls_and_rbf_stages:3d02811a,Has_Expertise_In,1998
True,author:i_b_da_silva:517dfb0e,theme:need_to_share_one_channel_while_preserving_data_reliability:911b2bc2,Has_Expertise_In,1998
True,author:i_b_da_silva:517dfb0e,theme:itu_v_29_recommendation:60ed4c89,Has_Expertise_In,1998
True,author:antonio_c_de_c_lima:de2bd3e7,theme:qam_16_software_modem_for_simultaneous_voice_and_data:b8f8c04e,Has_Expertise_In,1998
True,author:antonio_c_de_c_lima:de2bd3e7,theme:ann_demodulation_pipeline_with_rls_and_rbf_stages:3d02811a,Has_Expertise_In,1998
True,author:antonio_c_de_c_lima:de2bd3e7,theme:need_to_share_one_channel_while_preserving_data_reliability:911b2bc2,Has_Expertise_In,1998
True,author:antonio_c_de_c_lima:de2bd3e7,theme:itu_v_29_recommendation:60ed4c89,Has_Expertise_In,1998
